id,source,hotel_name_from_roomlist,city_from_roomlist,city_name_mapped,address_from_roomlist,room_name,room_size,number_of_people_min,number_of_people_max,people_range,price_per_day,description,info_link,img_link,Phone,🔐 Softr Record ID,ex-rating,rating,location link,Hotel or google link,
,meetingsbooker,Impact Hub Stockholm,Stockholm,Stockholm,,Trust Conference Room,2M x 3M x 3M (WxLxH),4,4,1 - 10,2500,Stylish,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/impacthubstockholm?attendees=1,https://images.meetingsbooker.com/images/venues/impacthubstockholm-41.jpg?quality=85&mode=crop&w=328&h=230,08-667 49 07,CUp29RyUktbCtdhp6mVbU6,"4,5",4.5,https://www.google.com/url?esrc=s&q=&rct=j&sa=U&url=http://impacthub.se/&ved=2ahUKEwjg38fP_PH_AhUtSvEDHcw9C5AQgU96BAgJEAQ&usg=AOvVaw0p5JU5z8HIfICngVBHOmPv,https://www.google.com/url?esrc=s&q=&rct=j&sa=U&url=http://impacthub.se/&ved=2ahUKEwjg38fP_PH_AhUtSvEDHcw9C5AQgU96BAgJEAQ&usg=AOvVaw0p5JU5z8HIfICngVBHOmPv,
,meetingsbooker,Impact Hub Stockholm,Stockholm,Stockholm,,Courage Conference Room,3M x 3M x 3M (WxLxH),6,6,1 - 10,4000,Stylish,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/impacthubstockholm?attendees=1,https://images.meetingsbooker.com/images/venues/impacthubstockholm-38.jpg?quality=85&mode=crop&w=328&h=230,08-667 49 07,VuV1ccPo31X2Vgux1EdnjS,"4,5",4.5,https://www.google.com/url?esrc=s&q=&rct=j&sa=U&url=http://impacthub.se/&ved=2ahUKEwjg38fP_PH_AhUtSvEDHcw9C5AQgU96BAgJEAQ&usg=AOvVaw0p5JU5z8HIfICngVBHOmPv,https://www.google.com/url?esrc=s&q=&rct=j&sa=U&url=http://impacthub.se/&ved=2ahUKEwjg38fP_PH_AhUtSvEDHcw9C5AQgU96BAgJEAQ&usg=AOvVaw0p5JU5z8HIfICngVBHOmPv,
,meetingsbooker,Impact Hub Stockholm,Stockholm,Stockholm,,Enterprise Conference Room,3M x 6M x 3M (WxLxH),9,9,1 - 10,5000,Stylish,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/impacthubstockholm?attendees=1,https://images.meetingsbooker.com/images/venues/impacthubstockholm-35.jpg?quality=85&mode=crop&w=328&h=230,08-667 49 07,Lps4R5Ayd4ns3AXw9CGskH,"4,5",4.5,https://www.google.com/url?esrc=s&q=&rct=j&sa=U&url=http://impacthub.se/&ved=2ahUKEwjg38fP_PH_AhUtSvEDHcw9C5AQgU96BAgJEAQ&usg=AOvVaw0p5JU5z8HIfICngVBHOmPv,https://www.google.com/url?esrc=s&q=&rct=j&sa=U&url=http://impacthub.se/&ved=2ahUKEwjg38fP_PH_AhUtSvEDHcw9C5AQgU96BAgJEAQ&usg=AOvVaw0p5JU5z8HIfICngVBHOmPv,
,meetingsbooker,Impact Hub Stockholm,Stockholm,Stockholm,,Discovery Conference Room,3M x 6M x 3M (WxLxH),9,9,1 - 10,5000,Stylish,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/impacthubstockholm?attendees=1,https://images.meetingsbooker.com/images/venues/impacthubstockholm-45.jpg?quality=85&mode=crop&w=328&h=230,08-667 49 07,2XamqsxZaRLdbJPegnfgyn,"4,5",4.5,https://www.google.com/url?esrc=s&q=&rct=j&sa=U&url=http://impacthub.se/&ved=2ahUKEwjg38fP_PH_AhUtSvEDHcw9C5AQgU96BAgJEAQ&usg=AOvVaw0p5JU5z8HIfICngVBHOmPv,https://www.google.com/url?esrc=s&q=&rct=j&sa=U&url=http://impacthub.se/&ved=2ahUKEwjg38fP_PH_AhUtSvEDHcw9C5AQgU96BAgJEAQ&usg=AOvVaw0p5JU5z8HIfICngVBHOmPv,
,meetingsbooker,Impact Hub Stockholm,Stockholm,Stockholm,,Collaboration Conference Room,6M x 6M x 3M (WxLxH),12,20,11 - 20,8000,Stylish,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/impacthubstockholm?attendees=1,https://images.meetingsbooker.com/images/venues/impacthubstockholm-44.jpg?quality=85&mode=crop&w=328&h=230,08-667 49 07,JLDmpDnTNsZFzNGnXCcGSB,"4,5",4.5,https://www.google.com/url?esrc=s&q=&rct=j&sa=U&url=http://impacthub.se/&ved=2ahUKEwjg38fP_PH_AhUtSvEDHcw9C5AQgU96BAgJEAQ&usg=AOvVaw0p5JU5z8HIfICngVBHOmPv,https://www.google.com/url?esrc=s&q=&rct=j&sa=U&url=http://impacthub.se/&ved=2ahUKEwjg38fP_PH_AhUtSvEDHcw9C5AQgU96BAgJEAQ&usg=AOvVaw0p5JU5z8HIfICngVBHOmPv,
,meetingsbooker,Impact Hub Stockholm,Stockholm,Stockholm,,Purpose Event Space,10M x 10M x 25M (WxLxH),15,70,51+,37500,Stylish,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/impacthubstockholm?attendees=1,https://images.meetingsbooker.com/images/venues/impacthubstockholm-43.jpg?quality=85&mode=crop&w=328&h=230,08-667 49 07,FSSTT1cpjm2z8c4PyZ4Qts,"4,5",4.5,https://www.google.com/url?esrc=s&q=&rct=j&sa=U&url=http://impacthub.se/&ved=2ahUKEwjg38fP_PH_AhUtSvEDHcw9C5AQgU96BAgJEAQ&usg=AOvVaw0p5JU5z8HIfICngVBHOmPv,https://www.google.com/url?esrc=s&q=&rct=j&sa=U&url=http://impacthub.se/&ved=2ahUKEwjg38fP_PH_AhUtSvEDHcw9C5AQgU96BAgJEAQ&usg=AOvVaw0p5JU5z8HIfICngVBHOmPv,
,meetingsbooker,Freys Hotel,Stockholm,Stockholm,,Harmony,3.41M x 3.82M x 2.52M (WxLxH),5,5,1 - 10,4875,Boutique,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/freys-hotel?attendees=1,https://images.meetingsbooker.com/images/venues/freyshotel-1.jpg?quality=85&mode=crop&w=328&h=230,,C5MsQPgKXX51gPNHb44fK2,,4,,https://www.google.com/search?q=Freys%20Hotel,
,meetingsbooker,Freys Hotel,Stockholm,Stockholm,,Creativity,2.85M x 3.83M x 2.53M (WxLxH),6,6,1 - 10,4875,Boutique,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/freys-hotel?attendees=1,https://images.meetingsbooker.com/images/venues/Freys-Hotel-5.jpg?quality=85&mode=crop&w=328&h=230,,FtgfrVgTw7hicD6xF5z7zu,,4,,https://www.google.com/search?q=Freys%20Hotel,
,meetingsbooker,Freys Hotel,Stockholm,Stockholm,,Wisdom,4.48M x 3.8M x 2.52M (WxLxH),8,8,1 - 10,8375,Boutique,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/freys-hotel?attendees=1,https://images.meetingsbooker.com/images/venues/freyshotel-6.jpg?quality=85&mode=crop&w=328&h=230,,9ATk2QGoCsNCaQsy6ub2J3,,4,,https://www.google.com/search?q=Freys%20Hotel,
,meetingsbooker,Freys Hotel,Stockholm,Stockholm,,Courage,3.86M x 5.85M x 2.52M (WxLxH),10,12,11 - 20,9875,Boutique,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/freys-hotel?attendees=1,https://images.meetingsbooker.com/images/venues/freyshotel-5.jpg?quality=85&mode=crop&w=328&h=230,,Ki2wot4HjQj1aa7TVXkYzH,,4,,https://www.google.com/search?q=Freys%20Hotel,
